SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq286,0,0,0,0,0,0,0,1,0,gi|48256098|gb|AY252741.1|,83.81,105,4.68E-16,"Stauralia compuncta 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Stauralia,[6]Stauralia_compuncta
seq287,0,0,0,0,0,0,0,1,0,gi|299892475|gb|GU254098.1|,96.273,161,3.37E-67,"Odontotermes morphospecies I SC-2009 voucher AG17 cytochrome oxidase subunit I genes, partial cds; and 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_morphospecies_I_SC-2009
seq288,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.139,158,1.24E-51,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq289,1,0,0,0,0,0,0,0,0,gi|992500544|gb|KT633875.1|,90,160,2.68E-48,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Ricaniidae,[5]Pochazia,[6]Pochazia_discreta
seq290,0,0,1,0,0,0,0,0,0,gi|1134549954|gb|KY492271.1|,100,160,1.20E-76,N/A,[1]Arthropoda,[2]Insecta,[3]Neuroptera,[4]Osmylidae,[5]Thyridosmylus,[6]Thyridosmylus_medoganus
seq291,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,88.608,158,5.81E-45,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq292,0,0,0,0,0,0,0,1,0,gi|995897443|gb|KT266831.1|,82.609,161,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Polyrhachis,[6]Polyrhachis_dives
seq294,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq295,0,0,0,0,0,1,0,0,0,gi|745742482|gb|KP233212.1|,85.625,160,4.55E-36,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Simuliidae,[5]Simulium,[6]Simulium_tribulatum
seq296,0,0,0,0,0,1,0,0,0,gi|530311273|gb|KF163965.1|,87.73,163,2.70E-43,"Agrotis ipsilon mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Agrotis,[6]Agrotis_ipsilon
seq297,0,0,0,0,1,0,0,0,0,gi|431255|gb|L12993.1|ABSMTRG16S,83.696,92,2.82E-13,"Amblysellus grex 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Amblysellus,[6]Amblysellus_grex
seq298,0,0,0,1,1,0,0,0,0,gi|63103180|gb|AY830913.1|,84.694,98,1.30E-16,"Phlogotettix cyclops 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Phlogotettix,[6]Phlogotettix_cyclops
seq299,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,84.536,97,1.68E-15,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq301,0,0,1,0,0,0,0,0,0,gi|4760652|dbj|AB020418.1|,78.916,166,1.01E-17,"Amphiareus obscuriceps mitochondrial gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Anthocoridae,[5]Amphiareus,[6]Amphiareus_obscuriceps
seq302,0,0,0,0,0,1,0,0,0,gi|602624643|gb|KF591910.1|,81.295,139,4.65E-21,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Tomoceridae,[5]Tomocerus,[6]Tomocerus_sp._3_FZ-2014
seq304,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,86.869,99,1.67E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq305,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq306,0,0,0,0,0,1,0,0,0,gi|583049299|gb|KC964472.1|,86.42,162,7.57E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Pleophylla,[6]Pleophylla_sp._BNHM834734
seq307,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,87.975,158,2.70E-43,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq309,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,89.241,158,1.25E-46,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq310,0,0,0,0,1,0,0,0,0,gi|321267272|gb|HQ333675.1|,86.25,160,2.10E-39,"Agriotes acuminatus voucher UPOL<CZE>:RK0003 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Agriotes,[6]Agriotes_acuminatus
seq311,0,0,0,1,1,0,0,0,0,gi|663337761|gb|KJ136724.1|,91.515,165,1.59E-55,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Bibionidae,[5]Bibio,[6]Bibio_marci
seq312,0,0,0,1,0,0,0,0,0,gi|5231158|gb|AF157314.1|AF157314,83.186,113,3.62E-17,"Forficula auricularia A country France 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Forficulidae,[5]Forficula,[6]Forficula_auricularia_A
seq313,0,0,0,0,1,0,0,0,0,gi|514252864|gb|KC894725.1|,93.252,163,7.35E-59,"Agrotis segetum mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Agrotis,[6]Agrotis_segetum
seq316,1,0,0,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,97.917,48,1.01E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq317,0,0,0,1,0,0,0,0,0,gi|1064244464|gb|KX631449.1|,98.113,159,4.33E-71,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Aphididae,[5]Myzus,[6]Myzus_persicae
seq319,1,0,0,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,97.917,48,1.01E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq320,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,91.919,99,2.18E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq322,1,0,0,0,0,0,0,0,0,gi|37547639|gb|AY131526.1|,84.158,101,1.33E-16,"Uroxys sp. dgi1 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Uroxys,[6]Uroxys_sp._dgi1
seq323,0,0,1,0,0,0,0,0,0,gi|1248843112|gb|KY039118.1|,84.906,159,2.17E-34,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Membracidae,[5]Tricentrus,[6]Tricentrus_sp._EMHAU-15062504
seq324,0,0,0,0,0,0,0,1,0,gi|1092182877|gb|KX035181.1|,91.026,156,4.56E-51,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Scolytinae,[6]Scolytinae_sp._BMNH_1040075
seq326,0,0,1,0,0,0,0,0,0,gi|110431092|emb|AJ831601.1|,84.146,164,7.79E-34,"Adscita geryon mitochondrial tRNA-Leu (CUN) gene, 16S rRNA gene and tRNA-Val (GUN) gene, specimen voucher Z005974",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Zygaenidae,[5]Adscita,[6]Adscita_geryon
seq329,1,0,0,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,97.917,48,1.04E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq330,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,91.919,99,2.18E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq332,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.139,158,1.27E-51,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq335,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,87.879,99,1.02E-22,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq336,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq338,0,0,1,1,0,0,0,0,0,gi|283484604|gb|GQ122065.1|,94.326,141,9.80E-53,"Evacanthus acuminatus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cicadellidae,[5]Evacanthus,[6]Evacanthus_acuminatus
seq339,1,0,0,0,0,0,0,0,0,gi|336244455|gb|HQ667629.1|,86.301,73,4.82E-11,"Pilophorus juniperi 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Miridae,[5]Pilophorus,[6]Pilophorus_juniperi
seq340,0,0,0,0,1,0,0,0,0,gi|291191644|gb|FJ973832.1|,85.443,158,1.29E-36,"Laboissierea sp. BMNH 831457 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Laboissierea,[6]Laboissierea_sculpturata
seq341,1,0,0,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,97.917,48,1.04E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq342,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,86.869,99,4.76E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq343,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,84.043,94,6.20E-15,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq345,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.109,101,2.20E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq347,1,0,0,0,0,0,0,0,0,gi|146198154|dbj|AB265372.1|,85.629,167,1.00E-37,"Alsophila japonensis gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Alsophila,[6]Alsophila_japonensis
seq353,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,100,45,1.04E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq354,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq355,0,0,1,0,0,0,0,0,0,gi|854958785|gb|KR351314.1|,82.822,163,2.18E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Endomychidae,[5]Cyclotoma,[6]Cyclotoma_cingalensis
seq356,0,0,1,0,0,0,0,0,0,gi|353334561|gb|JN003915.1|,81.25,144,1.71E-20,"Rhysida longipes isolate CES07263 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Rhysida,[6]Rhysida_longipes
seq357,0,0,0,0,0,0,0,1,0,gi|630602334|gb|KJ002979.1|,82.677,127,1.71E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Trachyscelis,[6]Trachyscelis_ciliaris
seq358,1,0,0,0,0,0,0,0,0,gi|291191626|gb|FJ973814.1|,76.974,152,1.34E-11,"Clitea fulva voucher BMNH 831386 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Clitea,[6]Clitea_fulva
seq359,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,94.545,55,1.04E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq360,1,0,0,0,0,0,0,0,0,gi|984898994|gb|KT207825.2|,100,44,3.73E-12,N/A,[1]Mollusca,[2]Gastropoda,[3]Vetigastropoda,[4]Fissurellidae,[5]Diodora,[6]Diodora_graeca
seq361,0,0,0,0,0,0,0,1,0,gi|1145997277|gb|KY224522.1|,88.272,162,5.94E-45,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Allodontermes,[6]Allodontermes_schultzei
seq362,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,91.919,99,2.18E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq363,1,0,0,0,0,0,0,0,0,gi|303305092|gb|HM452296.1|,83.851,161,3.63E-32,"Eusarima sp. 1 LZ-2010 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Issidae,[5]Eusarima,[6]Eusarima_sp._1_LZ-2010
seq364,0,0,0,0,0,1,0,0,0,gi|19851856|gb|AF406582.1|,90.152,132,2.15E-39,"Perionyx excavatus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq365,0,0,0,1,0,1,0,0,0,gi|1040979673|gb|KU360271.1|,93.525,139,7.63E-49,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Enchytraeidae,[5]Mesenchytraeus,[6]Mesenchytraeus_laojunensis
seq367,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,94.545,55,1.04E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq368,0,0,0,0,0,0,0,1,0,gi|390473354|gb|JX050221.1|,95.062,162,2.69E-63,"Macrotermes barneyi mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Macrotermes,[6]Macrotermes_barneyi
seq370,0,0,0,0,0,0,0,1,0,gi|1384965909|gb|MF286854.1|,83.66,153,1.69E-30,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Ectobiidae,[5]Sorineuchora,[6]Sorineuchora_nigra
seq372,0,0,0,0,0,1,0,0,0,gi|815930842|gb|KP245955.1|,93.571,140,1.64E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_coccinea
seq373,0,0,1,0,0,0,0,0,0,gi|1134549953|gb|KY492270.1|,100,159,4.40E-76,N/A,[1]Arthropoda,[2]Insecta,[3]Neuroptera,[4]Osmylidae,[5]Thyridosmylus,[6]Thyridosmylus_langii
seq374,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.72E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq375,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,94.949,99,7.79E-34,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq376,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq377,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq378,0,0,1,0,0,0,0,0,0,gi|18462809|gb|AF386671.1|,84.138,145,2.65E-28,"Kladothrips ellobus 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Thysanoptera,[4]Phlaeothripidae,[5]Kladothrips,[6]Kladothrips_ellobus
seq380,0,0,1,0,0,0,0,0,0,gi|425869701|gb|KC177457.1|,91.139,158,3.31E-52,"Tipula abdominalis 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Tipulidae,[5]Tipula,[6]Tipula_abdominalis
seq381,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.44E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq382,0,0,0,0,0,1,0,0,0,gi|630602337|gb|KJ002982.1|,83.871,155,1.58E-30,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Arcothymus,[6]Arcothymus_tristis
seq384,1,0,0,0,0,0,0,0,0,gi|608607513|gb|KJ396197.1|,91.195,159,9.20E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Nolidae,[5]Risoba,[6]Risoba_prominens
seq385,0,0,0,1,1,0,0,0,0,gi|1154513377|gb|KU764551.1|,82.5,120,9.67E-18,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Reduviidae,[5]Mendis,[6]Mendis_apicimaculata
seq386,0,0,0,0,0,1,0,0,0,gi|408716495|gb|JQ246759.1|,86.076,158,7.27E-39,"Fannia sp. MATM-2012 small subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Fanniidae,[5]Fannia,[6]Fannia_sp._MATM-2012
seq387,1,0,0,0,0,0,0,0,0,gi|604141830|gb|KJ185131.1|,90.062,161,5.54E-50,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Eutelia,[6]Eutelia_adulatricoides
seq388,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,93.293,164,1.52E-60,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq391,1,0,1,0,0,0,0,0,0,gi|764697715|gb|KM978386.1|,81.481,135,7.48E-19,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Paronellidae,[5]Salina,[6]Salina_sp._BXW-2014
seq392,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,94.545,55,9.74E-13,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq393,1,0,0,0,0,0,0,0,0,gi|12002717|gb|AF158037.1|AF158037,80.892,157,9.60E-23,"Ugyops vittatus 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Delphacidae,[5]Ugyops,[6]Ugyops_vittatus
seq394,0,0,0,0,1,0,0,0,0,gi|146198208|dbj|AB265426.1|,86.42,162,5.62E-40,"Operophtera relegata gene for 16S rRNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Geometridae,[5]Operophtera,[6]Operophtera_relegata
seq395,0,0,0,1,1,0,0,0,0,gi|5231158|gb|AF157314.1|AF157314,82.979,94,3.50E-12,"Forficula auricularia A country France 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Forficulidae,[5]Forficula,[6]Forficula_auricularia_A
seq396,0,0,0,1,0,0,0,0,0,gi|94410846|gb|DQ469570.1|,90.826,109,5.70E-30,"Bezzia winnertziana isolate 30C-1 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Ceratopogonidae,[5]Bezzia,[6]Bezzia_winnertziana
seq397,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.54E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq399,0,0,1,0,0,0,0,0,0,gi|353334561|gb|JN003915.1|,80.556,144,7.48E-19,"Rhysida longipes isolate CES07263 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Chilopoda,[3]Scolopendromorpha,[4]Scolopendridae,[5]Rhysida,[6]Rhysida_longipes
seq402,1,0,0,0,0,0,0,0,0,gi|126678898|gb|EF363278.1|,80,160,4.43E-21,"Pycnoscelus surinamensis voucher G14 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Blaberidae,[5]Pycnoscelus,[6]Pycnoscelus_surinamensis
seq403,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.46E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq404,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,88.608,158,5.53E-45,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq405,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,94.545,55,9.66E-13,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq406,1,0,0,0,0,0,0,0,0,gi|310618885|gb|HQ178245.1|,89.441,161,2.56E-48,"Neogalea sunia voucher OUT-B44 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Neogalea,[6]Neogalea_sunia
seq407,0,0,0,0,0,1,0,0,0,gi|984898994|gb|KT207825.2|,100,44,3.47E-12,N/A,[1]Mollusca,[2]Gastropoda,[3]Vetigastropoda,[4]Fissurellidae,[5]Diodora,[6]Diodora_graeca
seq409,0,0,0,0,0,0,0,1,0,gi|961350013|gb|KT277540.1|,92.121,165,1.17E-56,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Sinocapritermes,[6]Sinocapritermes_mushae
seq410,1,0,0,0,0,0,0,0,0,gi|226838340|gb|FJ871125.1|,87.117,163,1.20E-41,"Parnassius bremeri mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Papilionidae,[5]Parnassius,[6]Parnassius_bremeri
seq412,0,0,1,0,0,0,0,0,0,gi|418203756|dbj|AB721003.1|,85.211,142,5.65E-30,"Cacopsylla pyrisuga mitochondrial gene for 16S ribosomal RNA, partial sequence, isolate: Cp-2fs",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_pyrisuga
seq413,0,0,0,0,1,0,0,0,0,gi|158832191|dbj|AB363700.1|,92.029,138,1.54E-45,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq414,1,0,0,0,0,0,0,0,0,gi|404256560|gb|JQ421918.1|,96.855,159,8.94E-68,"Catochrysops strabo isolate F530 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Lycaenidae,[5]Catochrysops,[6]Catochrysops_strabo
seq416,0,0,0,0,0,0,0,1,0,gi|953966650|dbj|LC099190.1|,84.043,94,7.47E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Elasmostethus,[6]Elasmostethus_kerzhneri
seq417,0,0,0,0,0,0,0,1,0,gi|961350013|gb|KT277540.1|,90.909,165,2.54E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Sinocapritermes,[6]Sinocapritermes_mushae
seq418,0,0,0,1,0,0,0,0,0,gi|480359835|gb|JX536453.1|,85.714,147,3.38E-32,"Ocalea badia voucher ZMUN:10002740 16S ribosomal RNA gene, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and NADH dehydrogenase subunit 1 (NADH1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Staphylinidae,[5]Ocalea,[6]Ocalea_badia
seq419,0,0,1,0,0,0,0,0,0,gi|1127897643|emb|LN899507.1|,94.34,53,3.47E-12,N/A,[1]Chordata,[2]Reptilia,[3]Squamata,[4]Dactyloidae,[5]Anolis,[6]Anolis_maynardi
seq420,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,88,100,1.23E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq421,0,0,0,1,1,0,0,0,0,gi|764697715|gb|KM978386.1|,79.562,137,7.47E-14,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Paronellidae,[5]Salina,[6]Salina_sp._BXW-2014
seq422,0,1,0,0,0,0,0,1,0,gi|1145997277|gb|KY224522.1|,85.802,162,2.59E-38,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Allodontermes,[6]Allodontermes_schultzei
